distance_travelled,brand,engine_capacity,year_of_creation,engine_type,price,hp
22926.0,БМВ,1.8,2022.0,электро,7300000.0,326.0
270000.0,Хонда,1.8,2008.0,бензин,762000.0,140.0
81716.0,Фольксваген,3.6,2014.0,бензин,2995000.0,249.0
104996.0,Киа,2.5,2015.0,бензин,2799000.0,194.0
220000.0,Опель,1.8,2009.0,бензин,635000.0,140.0
41779.0,Шкода,1.4,2021.0,бензин,2319000.0,150.0
24796.0,Киа,1.6,2022.0,бензин,2025000.0,123.0
221000.0,LADA,1.6,2010.0,бензин,350000.0,98.0
14468.0,Ауди,2.0,2016.0,бензин,7400000.0,245.0
330000.0,БМВ,2.0,2012.0,бензин,400000.0,150.0
68500.0,Киа,1.6,2016.0,бензин,1150000.0,123.0
262000.0,Лада,1.5,2015.0,бензин,119999.0,91.0
265000.0,Шевроле,2.2,2014.0,дизель,1167000.0,184.0
201400.0,Мицубиси,2.0,2013.0,бензин,1314000.0,146.0
135065.0,Хендай,1.6,2020.0,бензин,1606000.0,123.0
259000.0,Шкода,1.8,2012.0,бензин,944000.0,152.0
56000.0,Тойота,1.8,2021.0,бензин,2750000.0,95.0
95000.0,Тойота,1.8,2019.0,бензин,2498000.0,99.0
72352.0,Мерседес,2.9,2020.0,дизель,8550000.0,330.0
96004.0,Шкода,1.4,2018.0,бензин,2547000.0,150.0
173000.0,Шкода,1.4,2009.0,бензин,495000.0,86.0
164933.0,Мерседес,3.0,2014.0,бензин,2999000.0,333.0
298054.0,LADA,1.6,2018.0,бензин,499000.0,87.0
173400.0,Ниссан,1.5,2008.0,бензин,515000.0,109.0
224000.0,Фольксваген,1.6,2016.0,бензин,800000.0,110.0
233412.0,Шкода,1.6,2008.0,бензин,520000.0,102.0
150000.0,Додж,6.7,2010.0,дизель,3999000.0,355.0
239784.0,Рено,2.0,2018.0,бензин,939777.0,143.0
205742.0,Тойота,2.4,2007.0,бензин,1150000.0,167.0
112284.0,Форд,1.5,2018.0,бензин,1670000.0,150.0
92000.0,Тойота,1.8,2017.0,бензин,2400000.0,98.0
416000.0,Ниссан,1.5,2002.0,бензин,320000.0,105.0
185982.0,Шкода,1.8,2014.0,бензин,1220800.0,180.0
106000.0,Мерседес,3.0,2015.0,дизель,3320000.0,249.0
302000.0,Фольксваген,1.6,1989.0,бензин,199000.0,72.0
234900.0,Шевроле,1.5,2014.0,бензин,160000.0,86.0
142056.0,Рено,2.0,2014.0,бензин,1050000.0,135.0
177000.0,Ниссан,1.6,2008.0,бензин,350000.0,107.0
48036.0,Киа,3.0,2022.0,дизель,5690000.0,249.0
290795.0,Форд,1.6,2012.0,бензин,605000.0,125.0
146898.0,LADA,1.6,2005.0,бензин,215000.0,81.0
106286.0,Мерседес,3.5,2011.0,бензин,1669000.0,272.0
219249.0,Фольксваген,1.4,2014.0,бензин,999000.0,122.0
97855.0,Ниссан,2.5,2018.0,бензин,2250000.0,171.0
144000.0,Киа,1.6,2020.0,бензин,1899000.0,123.0
51000.0,Киа,1.6,2013.0,бензин,1775000.0,123.0
