Пробег,Марка,Объем двигателя,Год создания,Тип двигателя,Цена,Лошадиные силы,Расход,Кол-во мест,Трансмиссия
270 000,БМВ, 2.5,3,бензин,1 200 000,218,9.0,4 ,АКПП
204 591,Киа, 2.0,2014,бензин,1 370 000,150,0,- мест,-----
286 500,Киа, 1.6,2006,бензин,260 000,101,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
135 400,Киа, 1.2,2011,бензин,820 000,85,5.3,5,АКПП
177 000,Ауди, 3.0,6,бензин,2 590 000,333,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
196 000,Тойота, 2.2,4,дизель,2 199 998,150,6.7,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
177 000,Шкода, 1.2,2012,бензин,750 000,105,6.4,5,Робот
175 488,Мерседес, 2.1,2017,дизель,2 945 000,204,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
249 000,Тойота, 4.0,2006,бензин,1 750 000,249,12.7,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
236 000,Шевроле, 1.7,2004,бензин,215 000,80,0,- мест,-----
358 000,УАЗ, 2.7,2010,бензин,205 000,128,0,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
230 500,Тойота, 3.0,2012,дизель,2 199 000,170,0,- мест,-----
207 270,Киа, 1.6,2014,бензин,920 000,129,0,- мест,-----
327 000,Фольксваген, 1.6,2015,бензин,700 000,105,6.4,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
1 620,Мерседес, 1.6,200,дизель,7 300 000,160,4.4,5,АКПП
300 000,Мицубиси, 1.6,2005,бензин,270 000,98,6.7,5,МКПП
100 000,Киа, 2.5,2021,бензин,4 200 000,180,8.9,7,АКПП
200 000,Шкода, 1.4,2013,бензин,1 140 000,140,5.3,5,Робот
260 000,Тойота, 4.0,2006,бензин,2 750 000,239,0,5,АКПП
230 000,LADA, 1.6,2013,бензин,270 000,87,0,- мест,-----
54 700,Чери, 1.6,8,бензин,1 979 000,186,7.0,7,Робот
99 416,Тойота, 2.7,2014,бензин,3 479 000,163,12.5,5,АКПП
102 000,Киа, 2.0,2019,бензин,2 199 000,150,0,- мест,-----
155 000,Хендай, 2.2,2018,дизель,3 140 000,190,0,- мест,-----
153 236,Шкода, 1.4,2019,бензин,2 330 000,150,0,- мест,-----
97 326,Хендай, 2.0,2021,бензин,1 980 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
187 600,Киа, 1.6,2016,бензин,1 050 000,123,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
20 000,Эксид, 2.0,2023,бензин,2 917 000,197,8.7,5,Робот
,---,,0,-,No price,---,0,- мест,-----
184 737,Мерседес, 5.5,2013,бензин,5 750 000,544,13.8,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
106 000,Тойота, 2.5,2021,бензин,3 048 000,200,0,- мест,-----
249 000,Мазда, 2.0,3,бензин,780 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,Сузуки, 1.3,2007,бензин,530 000,93,0,- мест,-----
250 000,БМВ, 2.5,5,бензин,500 000,170,10.6,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
142 000,Вольво, 2.0,60,дизель,3 249 000,190,5.4,5,АКПП
87 291,Шкода, 1.4,2016,бензин,1 735 700,150,0,- мест,-----
108 340,Хонда, 2.4,2012,бензин,1 755 900,200,0,- мест,-----
215 782,БМВ, 2.0,3,бензин,1 853 800,184,0,- мест,-----
303 000,Peugeot, 1.6,307,бензин,349 000,109,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
67 189,Мерседес, 2.0,2022,бензин,5 950 000,197,0,- мест,-----
98 300,Фольксваген, 1.4,2018,бензин,1 300 000,125,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
594 000,БМВ, 2.9,3,дизель,750 000,184,6.8,5,АКПП
278 000,Ниссан, 1.5,2005,бензин,449 990,98,0,- мест,-----
224 268,Форд, 2.0,2001,бензин,230 000,129,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
134 239,Киа, 2.4,2018,бензин,2 100 000,188,0,- мест,-----
152 292,Вольво, 2.4,70,дизель,2 550 000,181,0,- мест,-----
73 705,Киа, 2.2,2020,дизель,3 400 000,200,0,- мест,-----
69 946,Мерседес, 2.0,2020,бензин,4 950 000,197,7.3,5,АКПП
149 000,БМВ, 2.0,3,бензин,2 690 000,184,0,- мест,-----
275 000,БМВ, 2.0,5,дизель,2 800 000,190,0,- мест,-----
125 289,Киа, 2.0,2016,бензин,1 595 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,Ауди, 4.0,8,бензин,20 490 000,600,0,- мест,-----
195 000,Шкода, 1.2,2012,бензин,840 000,105,0,- мест,-----
87 628,Peugeot, 1.6,3008,бензин,2 050 000,150,0,- мест,-----
136 030,Ситроен, 2.0,2021,дизель,3 490 000,150,6.2,8,АКПП
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
137 000,Лада, 1.6,2115,бензин,215 000,81,0,- мест,-----
75 046,Хавейл, 2.0,7,бензин,2 199 000,190,9.4,5,Робот
180 953,Фольксваген, 1.6,2013,бензин,639 000,105,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
211 432,Мицубиси, 3.0,2010,бензин,1 589 000,178,0,- мест,-----
70,Ли, гибр,7,1.5 л,6 590 000,449,0,- мест,-----
112 409,Peugeot, 1.6,408,бензин,950 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
89 330,Лексус, 2.7,270,бензин,2 890 000,188,0,- мест,-----
129 111,Ягуар, 3.0,2016,бензин,3 495 000,340,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
35 874,Джили, 2.0,2021,бензин,2 899 000,238,0,- мест,-----
78 035,Лексус, 5.7,570,бензин,9 679 000,367,0,- мест,-----
69 108,БМВ, 2.0,5,дизель,4 799 000,190,0,- мест,-----
340 000,Форд, 1.6,2008,бензин,430 000,100,0,- мест,-----
258 104,Хендай, 1.5,2008,бензин,440 000,102,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
27 663,Чери, 2.0,8,бензин,3 070 000,197,8.5,7,Робот
83 332,Хендай, 1.6,2017,бензин,1 250 000,123,0,- мест,-----
